State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
5,NCNTY05065N05065,"Izard County, AR",421,424,573,714,787,AR,13696
5,NCNTY05067N05067,"Jackson County, AR",414,417,564,831,999,AR,17997
5,NCNTY05071N05071,"Johnson County, AR",462,465,624,777,956,AR,25540
5,NCNTY05073N05073,"Lafayette County, AR",405,408,552,813,835,AR,7645
5,NCNTY05075N05075,"Lawrence County, AR",381,384,519,690,826,AR,17415
5,NCNTY05077N05077,"Lee County, AR",466,504,598,766,799,AR,10424
5,NCNTY05081N05081,"Little River County, AR",472,487,659,821,1167,AR,13171
5,NCNTY05083N05083,"Logan County, AR",350,435,589,734,821,AR,22353
5,NCNTY05089N05089,"Marion County, AR",449,452,611,761,894,AR,16653
5,NCNTY05093N05093,"Mississippi County, AR",396,469,634,843,935,AR,46480
5,NCNTY05095N05095,"Monroe County, AR",427,429,581,789,999,AR,8149
5,NCNTY05097N05097,"Montgomery County, AR",532,535,724,902,1095,AR,9487
5,NCNTY05099N05099,"Nevada County, AR",551,554,750,968,1302,AR,8997
5,NCNTY05101N05101,"Newton County, AR",460,463,627,781,949,AR,8330
5,NCNTY05103N05103,"Ouachita County, AR",436,439,566,729,756,AR,26120
5,NCNTY05107N05107,"Phillips County, AR",430,433,586,864,956,AR,21757
5,NCNTY05109N05109,"Pike County, AR",438,441,577,719,873,AR,11291
5,NCNTY05113N05113,"Polk County, AR",441,443,574,768,771,AR,20662
5,NCNTY05115N05115,"Pope County, AR",486,489,654,893,1158,AR,61754
5,NCNTY05117N05117,"Prairie County, AR",384,416,493,726,873,AR,8715
5,NCNTY05121N05121,"Randolph County, AR",408,411,556,710,841,AR,17969
5,NCNTY05123N05123,"St. Francis County, AR",513,536,635,884,1017,AR,28258
5,NCNTY05127N05127,"Scott County, AR",453,456,617,768,933,AR,11233
5,NCNTY05129N05129,"Searcy County, AR",445,448,606,755,810,AR,8195
5,NCNTY05133N05133,"Sevier County, AR",418,425,536,688,752,AR,17058
5,NCNTY05135N05135,"Sharp County, AR",469,472,639,840,958,AR,17264
5,NCNTY05137N05137,"Stone County, AR",414,417,564,724,853,AR,12394
5,NCNTY05139N05139,"Union County, AR",503,506,685,853,978,AR,41639
5,NCNTY05141N05141,"Van Buren County, AR",440,476,564,716,853,AR,17295
5,NCNTY05145N05145,"White County, AR",546,550,744,1096,1153,AR,77076
5,NCNTY05147N05147,"Woodruff County, AR",380,383,518,763,784,AR,7260
5,NCNTY05149N05149,"Yell County, AR",429,432,585,862,1036,AR,22185
6,METRO12540M12540,"Bakersfield-Delano, CA MSA",649,653,855,1254,1514,CA,839631
6,METRO17020M17020,"Chico, CA MSA",564,707,931,1329,1649,CA,220000
6,METRO20940M20940,"El Centro, CA MSA",548,667,862,1270,1527,CA,174528
